"Location","Species","lmax","k","k_sd","linf","linf_sd","t0","t0_sd"
"Manuae","Acanthurus achilles",24,0.987536480496068,0.128763051064368,19.2090293561341,0.675126678239934,-0.0391971703946332,0.0362076673559497
"Marquesas","Acanthurus lineatus",38,0.400920033172246,0.114539574397985,26.8367839123235,3.14394328723861,-0.214848134976489,0.153304245802707
"Marquesas","Acanthurus nigricans",21.3,1.13371858163638,0.173749714628867,16.9894204909648,0.98239422690346,-0.0204713763722511,0.0252026472279619
"Marquesas","Acanthurus pyroferus",29,0.466593400909304,0.0952317701536048,20.0308011367118,1.42183693710939,-0.19302394204189,0.139201342079118
"Moorea","Acanthurus triostegus",27,0.626058030239573,0.0662898430483358,15.7138337203101,0.516941459869275,-0.0977415824857604,0.0485762184790909
"Marquesas","Ctenochaetus marginatus",27,0.375101206824343,0.0710163983879379,22.1286132222575,2.52988612013564,-0.159003159304402,0.0660293964958745
"Moorea","Ctenochaetus striatus",26,1.01364472232716,0.0883496763807092,17.2833006318256,0.577014307134961,-0.0287350239379255,0.0198769786543496
"Gambiers","Ctenochaetus striatus",26,0.499520023081144,0.0444957986822159,17.0938301306609,0.558261745885955,-0.142617765140763,0.0581677526804529
"Gambiers","Naso lituratus",46,1.2343914940197,0.168415552903584,32.0395653016968,1.89731410327589,-0.00961826286899631,0.0177290351402083
"Moorea","Ostorhinchus angustatus",11,0.604288466650281,0.0820470512226628,7.39844841861799,0.409797611737719,-0.12477440794503,0.0419549228461421
"Marquesas","Ostorhinchus apogonoides",10,0.916431418435465,0.0580057922138307,8.17352340168659,0.213126617386572,-0.0658608546980239,0.0125893650799159
"Marquesas","Pristiapogon taeniopterus",19.6,0.849550555673371,0.0726547189303923,7.98779116112242,0.263756553030086,-0.0835631181777407,0.0239356077524282
"Marquesas","Balistapus undulatus",30,0.303501798649263,0.136504435740187,22.251115029374,3.28008570094726,-0.210881035224405,0.143598273867188
"Moorea","Balistapus undulatus",30,0.195565567653369,0.0780429364121986,23.6802166744934,7.40147073309018,-0.719697105638808,0.532370432870323
"Moorea","Odonus niger",50,0.525850837147087,0.0648362893034947,24.0672420570457,1.34123501152151,-0.0886897766449533,0.0436863505756681
"Moorea","Caranx melampygus",117,0.0853578895779944,0.00917395708301573,92.6651229687479,4.89632222156799,-0.534521541859616,0.215673302814926
"Marquesas","Chaetodon ornatissimus",20,0.994627488231771,0.216364500842768,14.8107274063283,1.24223587151032,-0.0260798830593895,0.0471116759147785
"Gambiers","Myripristis berndti",30,0.2732317058223,0.0456965737288911,23.9636685047321,1.67888389895355,-0.498973278084978,0.178864691550717
"Marquesas","Myripristis berndti",30,0.327480315086482,0.0309093357254547,21.9234867740623,0.549258064458849,-0.359060460001846,0.111788306846578
"Moorea","Myripristis berndti",30,0.433853966949818,0.0504903438335745,18.0055828035919,0.940727063370696,-0.153377244057639,0.0527962986146014
"Moorea","Sargocentron microstoma",20,0.659777910329894,0.0526912220726329,16.2682074050805,0.543454179776302,-0.0558891586785251,0.0271988696766038
"Gambiers","Epibulus insidiator",54,0.303734160559347,0.0383570985287074,26.8374289503806,1.87232994683616,-0.258413345605098,0.078771465833937
"Gambiers","Halichoeres trimaculatus",27,0.706184100925056,0.15043982438103,18.0164201207767,1.69408494606311,-0.0352297526799078,0.0537761622088614
"Gambiers","Gnathodentex aureolineatus",30,0.380151892498845,0.0565119206020443,20.487104617495,1.00169943882328,-0.291236889227867,0.115103169188977
"Moorea","Lutjanus fulvus",40,0.753611587446147,0.17667379411432,23.966676460714,2.38308108575087,-0.0411411519928698,0.0422991495382317
"Tuamotu","Lutjanus fulvus",40,0.292738811209729,0.0557188020260347,26.726615415032,2.40059680408961,-0.415844957147533,0.179502189740367
"Moorea","Mulloidichthys flavolineatus",43,1.27450261497779,0.0900269718385547,25.6797722647959,0.547833767613724,-0.0131551394103644,0.0129636430823956
"Moorea","Centropyge bispinosa",10,0.863958055908481,0.697903341355964,5.32653927094292,0.847801583278156,-0.0709992610782468,0.0364777979600066
"Marquesas","Centropyge flavissima",14,0.915692242753129,0.325238824512936,7.27922759822567,1.62084279370533,-0.0448380617576441,0.0393838895984711
"Moorea","Centropyge flavissima",14,1.20116087575821,0.323977806784692,8.22266196905579,0.838914313259648,-0.0298177851539694,0.0262811226461031
"Gambiers","Centropyge flavissima",14,0.182538826670505,0.0368494682393793,12.5525640628328,1.36600907456918,-0.923114698671716,0.243965050009687
"Gambiers","Abudefduf sexfasciatus",19,1.82299856037934,1.54410668994726,11.3501466140332,5.92865696860933,0.394626712018981,0.747437276678924
"Moorea","Chromis iomelas",8,1.14617288287983,0.24917562602101,5.06788098194948,0.446168042212283,-0.0598870974940116,0.0264852710844143
"Gambiers","Chromis viridis",10,0.89341916511429,0.35977475587622,11.7818369729786,1.19006927039162,-0.0565108185136146,0.0620015442075403
"Moorea","Dascyllus aruanus",10,0.89671172472873,0.0991207602748242,5.60820592763037,0.220950740100427,-0.0548525577744878,0.0283052829197449
"Gambiers","Dascyllus flavicaudus",12,0.341861233107104,0.0404764165801358,9.3349894539486,0.627889031019722,-0.240340830077303,0.0742795316006788
"Moorea","Stegastes nigricans",14,0.30560810955665,0.126322096650318,13.4629853394941,2.07254502840653,-0.354061293187198,0.194266422699209
"Moorea","Chlorurus spilurus",27,1.03472900243526,0.1802958077227,22.6141851971918,1.34566037030059,-0.0245750219819008,0.0413775359942472
"Gambiers","Chlorurus spilurus",27,0.670414247458525,0.130353945959161,23.1125562132234,1.83235653166437,-0.07876338197001,0.052656635980791
