"Species","Agei","Estimate","Est.Error","Q2.5","Q97.5"
"Acanthurus achilles",0,0.714644933737999,4.42072619907974,-10.9134237504603,6.04061335511187
"Acanthurus achilles",0.1,2.3031287659133,3.7970174234427,-7.51083677465929,7.19411198956603
"Acanthurus achilles",0.2,3.75393196660329,3.27934463294895,-4.63282322738963,8.28627147171952
"Acanthurus achilles",0.3,5.07975306566114,2.8532908698301,-2.06234204645741,9.30870902765235
"Acanthurus achilles",0.4,6.29204275157834,2.50605122128489,0.163182855087945,10.2708874792113
"Acanthurus achilles",0.5,7.40113457308501,2.22602539117071,2.14729592961986,11.1548087481095
"Acanthurus achilles",0.6,8.41636105199023,2.00253253659836,3.91561166405836,11.9834425298292
"Acanthurus achilles",0.7,9.34615694131489,1.82568183890854,5.42198940573209,12.7524623565516
"Acanthurus achilles",0.8,10.1981511435179,1.68639919248989,6.71592049509829,13.4393452414843
"Acanthurus achilles",0.9,10.9792486138099,1.57655970345144,7.81292466017461,14.0659178832736
"Acanthurus achilles",1,11.6957034089947,1.48914038980705,8.74647027618822,14.6468447002317
"Acanthurus achilles",1.1,12.3531838994198,1.41831334986076,9.56897082889537,15.1788618397675
"Acanthurus achilles",1.2,12.9568310374183,1.35944030515912,10.3235399875354,15.6811911521835
"Acanthurus achilles",1.3,13.5113104675082,1.30897516951236,10.9722117758342,16.1190796788546
"Acanthurus achilles",1.4,14.020859169371,1.26430810273734,11.5644378202628,16.5377456534478
"Acanthurus achilles",1.5,14.4893272423784,1.22358848976098,12.103797066473,16.9136577905108
"Acanthurus achilles",1.6,14.9202153685586,1.18555477378821,12.608201464732,17.2489561703345
"Acanthurus achilles",1.7,15.3167084280021,1.14938644725786,13.0580293495623,17.5499114231319
"Acanthurus achilles",1.8,15.6817056856218,1.11458346808072,13.4809106707884,17.8270835562733
"Acanthurus achilles",1.9,16.0178479198669,1.0808723014565,13.8704670994435,18.0762633350687
"Acanthurus achilles",2,16.3275418215769,1.04813495460437,14.2153337740543,18.3131347384928
"Acanthurus achilles",2.1,16.6129819538809,1.0163565614737,14.5548494514104,18.5280118862645
"Acanthurus achilles",2.2,16.8761705312427,0.985587302044356,14.8777927985577,18.7186571030359
"Acanthurus achilles",2.3,17.1189352468616,0.955915085942993,15.1753427325679,18.8988807176026
"Acanthurus achilles",2.4,17.3429453521629,0.927446162578984,15.4481020339871,19.0696419895709
"Acanthurus achilles",2.5,17.5497261696288,0.900291491076284,15.7052373222221,19.2273985501676
"Acanthurus achilles",2.6,17.7406722003565,0.874557262097126,15.9490698928725,19.3665682260518
"Acanthurus achilles",2.7,17.9170589701658,0.850338405611349,16.17336116639,19.5057481131463
"Acanthurus achilles",2.8,18.0800537425315,0.827714257307429,16.3799551087471,19.6239548427486
"Acanthurus achilles",2.9,18.2307252128407,0.80674580969199,16.5735427068566,19.7425532541351
"Acanthurus achilles",3,18.3700522862635,0.787474158736761,16.7511098460277,19.8486750229827
"Acanthurus achilles",3.1,18.4989320306839,0.769919886978355,16.9165514254708,19.9507436184069
"Acanthurus achilles",3.2,18.6181868865112,0.754083210226855,17.0730170755556,20.0449569535698
"Acanthurus achilles",3.3,18.7285712066305,0.73994476655795,17.226032959192,20.1317540040208
"Acanthurus achilles",3.4,18.8307771921363,0.727466951161548,17.35572544464,20.2188405994315
"Acanthurus achilles",3.5,18.9254402827104,0.716595706690339,17.4761869384838,20.2927161772989
"Acanthurus achilles",3.6,19.0131440544612,0.707262673607812,17.5878222950072,20.3638595502979
"Acanthurus achilles",3.7,19.0944246726528,0.699387595770963,17.6846205401481,20.4335125799606
"Acanthurus achilles",3.8,19.1697749419388,0.692880869041665,17.7723191924563,20.4858106483585
"Acanthurus achilles",3.9,19.2396479924205,0.687646119253288,17.8493653150357,20.5543114950557
"Acanthurus achilles",4,19.3044606360066,0.68358270234708,17.9245276882028,20.612826300103
"Acanthurus achilles",4.1,19.3645964241163,0.680588033792898,17.9922161050545,20.6714526751644
"Acanthurus achilles",4.2,19.4204084346901,0.678559674711129,18.0605693240178,20.7196141836214
"Acanthurus achilles",4.3,19.4722218137197,0.67739712565924,18.1131034374831,20.7691697964566
"Acanthurus achilles",4.4,19.5203360940373,0.677003302894302,18.1569502199369,20.8156590854778
"Acanthurus achilles",4.5,19.5650273118878,0.677285693559734,18.2025262997263,20.8582857914509
"Acanthurus achilles",4.6,19.6065499398225,0.678157203950413,18.248024518254,20.901906317476
"Acanthurus achilles",4.7,19.6451386526619,0.679536727954847,18.2802391313992,20.9397824227801
"Acanthurus achilles",4.8,19.6810099416747,0.681349470909991,18.3083030444105,20.9774826404934
"Acanthurus achilles",4.9,19.714363590673,0.683527067953089,18.3350572211747,21.0153789741898
"Acanthurus achilles",5,19.7453840264265,0.686007536355088,18.3546797190597,21.0485919281286
"Acanthurus achilles",5.1,19.7742415546274,0.688735099217253,18.3832810286187,21.0861693675183
"Acanthurus achilles",5.2,19.8010934915843,0.691659914203221,18.407905494747,21.1209458534908
"Acanthurus achilles",5.3,19.8260852008753,0.694737736420726,18.4294406897712,21.1491557260204
"Acanthurus achilles",5.4,19.8493510433275,0.697929539742766,18.443668629835,21.1791899339988
"Acanthurus achilles",5.5,19.8710152479252,0.701201116174644,18.4610091542635,21.2086123677942
"Acanthurus achilles",5.6,19.8911927105421,0.704522668586644,18.4740870649344,21.2321169210855
"Acanthurus achilles",5.7,19.9099897267669,0.707868408377701,18.4837016676792,21.2554268496356
"Acanthurus achilles",5.8,19.9275046645204,0.711216166461292,18.4936626909059,21.2767424900995
