"Family","Genus","Species","ID","Agei","Ri","Agecpt","Rcpt","Lcpt","L0p","R0p","Li_sp_m","Li_sp_sd","Li_sploc_m","Li_sploc_sd","Weight","Location","Observer"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",25,1.01664539264454,27,1.07659108114909,245.51,1.7,0.014,237.401566119166,0.971618725882134,236.655273517675,1.48240066600349,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",26,1.03429060908402,27,1.07659108114909,245.51,1.7,0.014,239.810674451163,0.687387501239798,239.282102119505,1.04999705365152,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_001",27,1.05683400546464,27,1.07659108114909,245.51,1.7,0.014,242.861137042643,0.322077036664194,242.613122834999,0.492715552534664,201.3,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",0,NA,13,0.793880902516876,229.649,1.7,NA,1.7,4.37811740605467e-15,1.7,4.03710214894379e-15,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",1,0.401615454200662,13,0.793880902516876,229.649,1.7,NA,152.308162858236,8.60127927853905,146.503833816269,11.7294337358299,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",2,0.456657606592671,13,0.793880902516876,229.649,1.7,NA,164.735165954851,7.55791257490442,159.553339605922,10.4448588704421,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",3,0.498832204210316,13,0.793880902516876,229.649,1.7,NA,173.810825032419,6.70781151354948,169.163027721469,9.35454858377149,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",4,0.551514434756557,13,0.793880902516876,229.649,1.7,NA,184.681583761242,5.59599196265741,180.758592708163,7.88441461508701,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",5,0.583719424200168,13,0.793880902516876,229.649,1.7,NA,191.100667409639,4.8932475154235,187.648069969323,6.93417317534154,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",6,0.611977189969202,13,0.793880902516876,229.649,1.7,NA,196.604910976106,4.26412563799535,193.580174459352,6.07169288063839,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",7,0.64151810848779,13,0.793880902516876,229.649,1.7,NA,202.240185904936,3.59520951442319,199.676542081196,5.14372009748402,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",8,0.668825201382751,13,0.793880902516876,229.649,1.7,NA,207.348159619276,2.96762370733373,205.222303925794,4.26376514431219,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",9,0.697202488209226,13,0.793880902516876,229.649,1.7,NA,212.559672425471,2.30688152063995,210.899639893385,3.32838784644966,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",10,0.721003535261973,13,0.793880902516876,229.649,1.7,NA,216.858996345599,1.74652340616839,215.597630587341,2.52845999482493,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",11,0.743011891230762,13,0.793880902516876,229.649,1.7,NA,220.779148112236,1.22374263224399,219.8924860693,1.77701453198827,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",12,0.760598873328132,13,0.793880902516876,229.649,1.7,NA,223.875116211515,0.802993243387515,223.291853616314,1.16879716528731,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_002",13,0.77326394459222,13,0.793880902516876,229.649,1.7,NA,226.085156342521,0.498434476001578,225.72247725592,0.726707936136886,173.1,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",0,0.013,14,0.753147276296385,204.517,1.7,0.013,1.7,5.20724302114467e-15,1.7,4.96822959790572e-15,147.4,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",1,0.321384057479601,14,0.753147276296385,204.517,1.7,0.013,120.860894458103,7.34231244558875,115.468657732219,10.6832569089933,147.4,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",2,0.397531302397377,14,0.753147276296385,204.517,1.7,0.013,138.284681676858,6.39636375781962,133.520167089829,9.43435303919726,147.4,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",3,0.438139206673181,14,0.753147276296385,204.517,1.7,0.013,146.946206389542,5.80054374363881,142.597151342662,8.61085485931591,147.4,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",4,0.479887673925616,14,0.753147276296385,204.517,1.7,0.013,155.474772265821,5.13742135719344,151.599117368434,7.67357061870402,147.4,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",5,0.506989391567868,14,0.753147276296385,204.517,1.7,0.013,160.829988344603,4.6837465210189,157.283371017387,7.02241887800001,147.4,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",6,0.535645066651628,14,0.753147276296385,204.517,1.7,0.013,166.351624566736,4.18680382004101,163.169397177803,6.30142149578516,147.4,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",7,0.568988757505947,14,0.753147276296385,204.517,1.7,0.013,172.609269547271,3.58878511987112,169.870283287163,5.42441610636871,147.4,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",8,0.597491574426387,14,0.753147276296385,204.517,1.7,0.013,177.826817893432,3.06260241075662,175.481565679945,4.64527560157129,147.4,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",9,0.623530794598635,14,0.753147276296385,204.517,1.7,0.013,182.494986138434,2.57108888220447,180.520334408083,3.91177474611138,147.4,"Manuae","Jean Bienvenu"
"Acanthuridae","Acanthurus","Acanthurus achilles","AC_AC_SC_03_16_003",10,0.64576016063554,14,0.753147276296385,204.517,1.7,0.013,186.410276846088,2.14404803106039,184.759619890105,3.27037604088393,147.4,"Manuae","Jean Bienvenu"
